dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,537,487,50,0.2477310995089906,0.4419001270580448,-0.1941690275490542,60.78028747433265,70.0,-1.0303755722309729,-1.3199137634608413,-0.538424823570601,0.5902837924896429,negative,0.1941690275490542,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,1w,537,116,421,0.28482925572657913,0.2605697343218468,0.02425952140473231,63.793103448275865,61.04513064133017,-0.8388368723663494,-1.1175380395606396,0.13622799698280266,0.8916410430853071,positive,0.02425952140473231,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,534,484,50,1.0062960614287089,1.695192678323722,-0.688896616895013,69.42148760330579,74.0,-2.4751664882918565,-2.704292963052189,-0.7069432356262754,0.4796017541490423,negative,0.688896616895013,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,4w,534,113,421,0.7769041075833677,1.1496835237310228,-0.3727794161476551,68.14159292035397,70.30878859857482,-2.2483418033503035,-2.563260343722764,-0.7840720848682048,0.4329978141368389,negative,0.3727794161476551,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,13w,525,475,50,3.2905815076913925,4.775046907440584,-1.4844653997491912,76.21052631578948,84.0,-4.6797062753258265,-4.329126015220293,-1.1289220613589337,0.25893071333028234,negative,1.4844653997491912,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,13w,525,104,421,2.0311744059043098,3.777996254896419,-1.7468218489921092,72.11538461538461,78.14726840855107,-5.50425722205936,-4.434380119825673,-1.2285381436297946,0.21924501968452553,negative,1.7468218489921092,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,26w,512,462,50,6.824890204570523,7.371125430241028,-0.5462352256705048,79.43722943722943,86.0,-6.769256873003455,-4.8526499534418575,-0.27614724913084143,0.7824349714514267,negative,0.5462352256705048,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,26w,512,95,417,6.681149489704829,6.923132720627517,-0.24198323092268748,80.0,80.0959232613909,-7.598311716832228,-6.350574484174166,-0.11288370822177729,0.9101227527202482,negative,0.24198323092268748,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,1w,537,487,50,0.35631257777722264,0.7965026554320823,-0.4401900776548597,58.31622176591375,72.0,-1.402412846885466,-1.4957048012556264,-0.9806029367294524,0.32678858557086676,negative,0.4401900776548597,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,1w,537,116,421,0.43531924479655787,0.3868226264909997,0.04849661830555818,59.48275862068966,59.61995249406176,-1.2216065024984872,-1.4633110266180016,0.19405483525069378,0.8461329455622094,positive,0.04849661830555818,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,4w,534,484,50,1.488893057465989,2.389677108156723,-0.9007840506907339,67.56198347107438,72.0,-3.1573549549259243,-3.2926022207043752,-0.8075748740299499,0.4193353557902343,negative,0.9007840506907339,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,4w,534,113,421,1.1870207893991402,1.6768996342500524,-0.48987884485091215,62.83185840707964,69.35866983372921,-2.988981118760631,-3.218610552967731,-0.7472334949792209,0.45492262883499635,negative,0.48987884485091215,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,13w,525,475,50,4.990700272483769,6.210325541800492,-1.2196252693167224,75.57894736842105,84.0,-5.660822688676438,-5.116114533700351,-0.634344670381687,0.5258559099558199,negative,1.2196252693167224,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,13w,525,104,421,3.5395726390239295,5.494022213922391,-1.9544495748984616,67.3076923076923,78.62232779097387,-6.526501719321725,-5.38228105699968,-1.2417961680955936,0.21431177691325398,negative,1.9544495748984616,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,26w,512,462,50,10.262162237182164,10.875589956223983,-0.6134277190418196,82.68398268398268,84.0,-7.656969862360983,-5.903085136991559,-0.23202919088122606,0.8165153413722591,negative,0.6134277190418196,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,26w,512,95,417,10.876575672748913,10.19574043759763,0.6808352351512834,91.57894736842105,80.81534772182253,-8.404376750571405,-7.276399381189612,0.29325683975695405,0.769325840937641,positive,0.6808352351512834,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,1w,537,31,506,-0.1771579954880225,0.29294851714211334,-0.4701065126301358,54.83870967741935,62.055335968379445,-2.4834313685789144,-0.969964860520908,-0.8743037918383957,0.3819528349016984,negative,0.4701065126301358,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,1w,537,20,517,0.2661220390571215,0.2657980871037491,0.00032395195337242555,65.0,61.50870406189555,-2.1710115276394175,-1.0142521495101304,0.00046905833188540794,0.9996257456125963,positive,0.00032395195337242555,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,537,108,429,0.33337528351810825,0.24880074870355473,0.08457453481455351,61.111111111111114,61.771561771561764,-0.8638263911305224,-1.1060497473366653,0.4134574516818678,0.6792714896359529,positive,0.08457453481455351,none
tff,TFF Detailed,Leveraged Funds,lev_money,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,1w,537,517,20,0.26285908084390613,0.34209535087406107,-0.07923627003015493,61.702127659574465,60.0,-1.0720250168939036,-0.6775829057688865,-0.25142918039684914,0.8014823094494263,negative,0.07923627003015493,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,4w,534,31,503,-0.14973590295240347,1.1460213531594545,-1.295757256111858,48.38709677419355,71.17296222664015,-5.665255239998273,-2.3013366124173387,-0.8366505470677549,0.40278902418994667,negative,1.295757256111858,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,4w,534,20,514,2.1573571829562175,1.0285209805224842,1.1288362024337333,70.0,69.8443579766537,-3.4867959669218096,-2.458092041142863,0.7914735360795792,0.42866771311904905,positive,1.1288362024337333,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,534,108,426,1.3055738186353953,1.0112792376409825,0.29429458099441286,73.14814814814815,69.01408450704226,-1.8481206773056795,-2.661028627551302,0.605949467471848,0.5445483094672899,positive,0.29429458099441286,none
